hour,demand,renewable_frac,thermal_frac,shed_frac,renewable,thermal,shed
0,31.1126766204834,0.0,1.0,0.0,0.0,31.1126766204834,0.0
1,31.04511260986328,0.005060332026931485,0.9949396669781289,9.949396861941295e-10,0.15709857761938564,30.88801400135588,3.088801459791879e-08
2,30.949331283569336,0.0,1.0,0.0,0.0,30.949331283569336,0.0
3,30.837722778320312,0.02228618551743598,0.9777138135048502,9.77713798810953e-10,0.6872552107729077,30.15046753739694,3.015046708427061e-08
4,30.716693878173828,0.04208772787530249,0.9579122711667851,9.57912416055251e-10,1.29279585317355,29.423897995576375,2.942390244607103e-08
5,30.589086532592773,0.0,1.0,0.0,0.0,30.589086532592773,0.0
6,30.455280303955078,0.0,1.0,0.0,0.0,30.455280303955078,0.0
7,30.314088821411133,0.17781086933185541,0.8221891298459554,8.221892056070601e-10,5.390174486338194,24.923914310149023,2.492391660677788e-08
8,30.163414001464844,0.24508501294735333,0.7549149862977316,7.549151304075963e-10,7.3926007110853895,22.770813267608638,2.2770817614454148e-08
9,30.000682830810547,0.3140505447763846,0.6859494545376658,6.85949630430116e-10,9.42173078667958,20.57895202355201,2.0578957300445622e-08
10,29.823118209838867,0.0,1.0,0.0,0.0,29.823118209838867,0.0
11,29.626218795776367,0.43014734834072227,0.5698526510894251,5.698526095443412e-10,12.74363945636527,16.882579322528517,1.6882578091704774e-08
12,29.385196685791016,0.46879062637721775,0.5312093730915728,5.312095208154233e-10,13.775504760549714,15.609691909631607,1.560969625052601e-08
13,29.09669303894043,0.9692332344763441,0.030766765493719192,2.9936719769807496e-11,28.20148190669756,0.8952111313718119,8.710595457348681e-10
14,28.772768020629883,1.0,0.0,0.0,28.772768020629883,0.0,0.0
15,28.4489688873291,0.49218813547085655,0.5078118640213315,5.07812014660658e-10,14.002244952722918,14.446723920159457,1.4446728205692968e-08
16,28.116573333740234,0.8824969025845955,0.0,0.11750309741540454,24.81278887831839,0.0,3.3037844554218445
17,27.780488967895508,0.7548396019890073,0.24516039800957826,1.4144241333724494e-12,20.969813235586255,6.810675732269961,3.9293394033078496e-11
18,27.446672439575195,0.37754066856314167,0.6224593308143989,6.224594173431797e-10,10.362235062670774,17.08443735981998,1.7084439734747084e-08
19,27.12809181213379,0.45783336177161427,0.0,0.5421666382283857,12.420145472798216,0.0,14.707946339335573
20,26.823781967163086,0.24508501294735333,0.7549149862977316,7.549151304075963e-10,6.574106950719147,20.249674996194262,2.024967886176585e-08
21,26.5532283782959,0.0,1.0,0.0,0.0,26.5532283782959,0.0
22,26.303754806518555,0.11920292191712396,0.8807970772020788,8.807972129432073e-10,3.1354844303286056,23.168270353021676,2.3168273923523037e-08
23,26.03936767578125,0.0,1.0,0.0,0.0,26.03936767578125,0.0
